# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
zhan	㠭	zhan		
gang	㠮	gang		
peng	㠮	peng		
yi	㠯	yi		
ji	㠱	ji		
qi	㠱	qi		
bi	㠲	bi		
ren	㠴	ren		
huang	㠵	huang		
fan	㠶	fan		
ge	㠷	ge		
fu	㠸	fu		
jie	㠹	jie		
miao	㠺	miao		
sha	㠺	sha		
si	㠼	si		
tong	㠽	tong		
yuan	㠾	yuan		
ci	㠿	ci		
zi	㠿	zi		
bi	㡀	bi		
kua	㡁	kua		
li	㡂	li		
huang	㡃	huang		
xun	㡄	xun		
nuo	㡅	nuo		
jie	㡇	jie		
zhe	㡇	zhe		
men	㡈	men		
mian	㡈	mian		
wen	㡈	wen		
xian	㡉	xian		
qia	㡊	qia		
an	㡋	an		
ye	㡋	ye		
mao	㡌	mao		
shu	㡏	shu		
tou	㡏	tou		
xu	㡏	xu		
jiao	㡑	jiao		
zhun	㡒	zhun		
hui	㡓	hui		
kun	㡓	kun		
wu	㡔	wu		
ying	㡕	ying		
chuang	㡖	chuang		
ti	㡗	ti		
lian	㡘	lian		
lin	㡘	lin		
bi	㡙	bi		
gou	㡚	gou		
mang	㡛	mang		
xie	㡜	xie		
xue	㡜	xue		
feng	㡝	feng		
lou	㡞	lou		
lv	㡞	lv		
zao	㡟	zao		
zheng	㡠	zheng		
chu	㡡	chu		
man	㡢	man		
long	㡣	long		
yin	㡥	yin		
pin	㡦	pin		
zhen	㡧	zhen		
zheng	㡧	zheng		
jian	㡨	jian		
qian	㡨	qian		
luan	㡩	luan		
nie	㡪	nie		
yi	㡫	yi		
ji	㡭	ji		
ji	㡮	ji		
du	㡯	du		
duo	㡯	duo		
zhai	㡯	zhai		
yu	㡰	yu		
jiu	㡱	jiu		
huan	㡲	huan		
zhi	㡳	zhi		
la	㡴	la		
ling	㡵	ling		
zhi	㡶	zhi		
ben	㡷	ben		
cha	㡸	cha		
zha	㡸	zha		
ju	㡹	ju		
dan	㡺	dan		
liao	㡻	liao		
yi	㡼	yi		
zhao	㡽	zhao		
xian	㡾	xian		
chi	㡿	chi		
ci	㢀	ci		
chi	㢁	chi		
shi	㢁	shi		
dui	㢂	dui		
tui	㢂	tui		
yan	㢂	yan		
lang	㢃	lang		
dou	㢄	dou		
long	㢅	long		
chan	㢆	chan		
dui	㢈	dui		
tui	㢈	tui		
cha	㢉	cha		
ai	㢊	ai		
yi	㢊	yi		
chi	㢋	chi		
ying	㢍	ying		
zhe	㢎	zhe		
tou	㢏	tou		
yu	㢏	yu		
tui	㢑	tui		
cha	㢒	cha		
yao	㢓	yao		
zong	㢔	zong		
ban	㢖	ban		
pan	㢖	pan		
qiao	㢗	qiao		
lian	㢘	lian		
qin	㢙	qin		
lu	㢚	lu		
qian	㢛	qian		
yan	㢛	yan		
kang	㢜	kang		
su	㢝	su		
yi	㢞	yi		
chan	㢟	chan		
hui	㢠	hui		
jiang	㢡	jiang		
jing	㢣	jing		
dong	㢥	dong		
juan	㢧	juan		
han	㢨	han		
di	㢩	di		
hong	㢬	hong		
chi	㢮	chi		
diao	㢯	diao		
min	㢯	min		
bi	㢰	bi		
xun	㢲	xun		
lu	㢳	lu		
she	㢵	she		
xie	㢵	xie		
bi	㢶	bi		
bi	㢸	bi		
xian	㢺	xian		
rui	㢻	rui		
bie	㢼	bie		
er	㢽	er		
juan	㢾	juan		
zhen	㣀	zhen		
bei	㣁	bei		
e	㣂	e		
yu	㣃	yu		
qu	㣄	qu		
zan	㣅	zan		
mi	㣆	mi		
yi	㣇	yi		
